blend_id,API,Sulphur,crude_TUL,crude_BOL,crude_CJB,crude_WCD,crude_CEI,crude_AME,crude_FOR,crude_IRC,crude_OK2,crude_ESC,crude_BOC,crude_MEO,crude_RCO,crude_Cieba,crude_OKW,crude_Egina,crude_PAZ,crude_Nembe,crude_Utapate,crude_Okono,crude_SAB,crude_Buzios,crude_Total,crude_Gas & LPG,crude_Naptha ,crude_Kerosene,crude_Light Diesel,crude_Heavy Diesel
CB28,35.7,1915.0,0.0,0.0006668889629876625,0.0,0.020006668889629875,0.008669556518839612,0.0010003334444814939,0.0,0.10070023341113704,0.0,0.09869956652217404,0.0,0.0,0.12104034678226075,0.0,0.0,0.0,0.0,0.0,0.0056685561853951315,0.09769923307769256,0.0,0.0,0.33344448149383127,0.006002000666888962,0.06402134044681561,0.05801933977992663,0.03901300433477826,0.04534844948316105
CB29,34.3,2192.7,0.0,0.01,0.0,0.016666666666666666,0.03,0.0,0.0,0.12333333333333334,0.0,0.09333333333333334,0.0,0.0,0.13033333333333333,0.0,0.0,0.0033333333333333335,0.0,0.0,0.0,0.05666666666666667,0.0,0.0,0.3333333333333333,0.005666666666666667,0.057999999999999996,0.057666666666666665,0.037,0.04466666666666667
CB30,32.7,2871.0,0.13039117352056168,0.006686726847208292,0.003343363423604146,0.010030090270812437,0.01671681711802073,0.0,0.003343363423604146,0.10364426613172852,0.0,0.0,0.0,0.0,0.15479772651287196,0.0,0.0,0.003009027081243731,0.0,0.0,0.0,0.04012036108324975,0.0,0.013373453694416584,0.33467067870277495,0.005349381477766633,0.05081912403878301,0.04914744232698094,0.03343363423604146,0.041123370110330994
CB31,31.4,2963.0,0.13,0.0023333333333333335,0.002,0.011000000000000001,0.0,0.001,0.005333333333333333,0.0,0.0,0.0023333333333333335,0.0,0.12166666666666666,0.15733333333333333,0.0,0.0,0.0,0.0,0.0,0.005,0.03833333333333334,0.0,0.014333333333333332,0.3333333333333333,0.004333333333333333,0.048666666666666664,0.049999999999999996,0.03266666666666667,0.04033333333333333
CB32,32.3,2381.6,0.07370184254606366,0.03350083752093803,0.0,0.006700167504187605,0.01340033500837521,0.0,0.09045226130653267,0.08040201005025126,0.0,0.0,0.0,0.0,0.14539363484087103,0.0,0.0,0.0023450586264656616,0.0,0.0,0.0,0.02345058626465662,0.0,0.006700167504187605,0.3346733668341708,0.005360134003350084,0.055611390284757124,0.040871021775544386,0.04020100502512563,0.04723618090452261
CB33,32.6,2090.6,0.07362784471218206,0.030120481927710843,0.0,0.010040160642570281,0.0,0.0,0.09036144578313253,0.02342704149933066,0.0,0.07362784471218206,0.0,0.0,0.13721552878179383,0.0,0.0,0.0,0.0,0.0,0.0,0.02342704149933066,0.0,0.006693440428380187,0.3343373493975903,0.00535475234270415,0.0568942436412316,0.0428380187416332,0.04350736278447122,0.04852744310575636
CB34,31.7,2459.7,0.0866089273817455,0.016655562958027982,0.0,0.016655562958027982,0.0,0.006662225183211192,0.04996668887408394,0.023317788141239176,0.0,0.07328447701532312,0.0,0.04996668887408394,0.15156562291805462,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009993337774816787,0.3334443704197202,0.004996668887408393,0.05263157894736842,0.03897401732178547,0.038640906062624915,0.04663557628247835
CB35,31.1,2384.0,0.0866089273817455,0.015323117921385741,0.0013324450366422385,0.012991339107261824,0.0013324450366422385,0.005662891405729514,0.1375749500333111,0.0,0.0,0.011658894070619588,0.0,0.05129913391072618,0.14490339773484343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009327115256495669,0.3334443704197202,0.004330446369087275,0.05096602265156562,0.04030646235842771,0.04197201865423051,0.05096602265156562
Average,36.279999999999994,1771.4799999999996,0.01661827628361858,0.039797906479217604,0.0011556387530562346,0.08464815097799509,0.0031899449877750606,0.02256838325183374,0.01588286980440098,0.01300809902200489,0.0005348410757946211,0.04911942237163814,0.0,0.006389440709046456,0.12230669315403422,0.020257105745721267,0.0,0.012463707212713929,0.00021966687041564793,0.0,0.016398609413202935,0.019139669926650362,3.820293398533007e-05,0.010056922371638142,0.3342565709046455,0.006943383251833744,0.059376910146699276,0.06256685513447435,0.03822203545232274,0.04484069376528118
Unnamed: 37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
