blend_id,API,Sulphur,crude_AGB,crude_BOL,crude_WTI,crude_Tupi (Lula),crude_AME,crude_FOR,crude_MERO,crude_OK2,crude_ESC,crude_IRC,crude_Egina,crude_TUL,crude_OKW,crude_CEI,crude_PAZ,crude_Iracema Crude,crude_Utapate,crude_Okono,crude_SAB,crude_Buzios,crude_Total,crude_Gas & LPG,crude_Naptha ,crude_Kerosene,crude_Light Diesel,crude_Heavy Diesel,crude_RCO
CB12,37.3,1358.5,0.0,0.0,0.01278772378516624,0.0,0.10869565217391304,0.0319693094629156,0.0319693094629156,0.0,0.06713554987212275,0.0,0.0,0.0,0.02877237851662404,0.0,0.0,0.0,0.0,0.04156010230179028,0.0,0.0,0.33855498721227617,0.007033248081841432,0.07352941176470588,0.06809462915601022,0.040920716112531966,0.04475703324808184,0.10421994884910486
CB13,37.0,1381.0,0.0,0.001589825119236884,0.01971383147853736,0.0,0.13481717011128774,0.015262321144674086,0.03052464228934817,0.0,0.09761526232114467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01875993640699523,0.0,0.0,0.34085850556438796,0.007313195548489666,0.0712241653418124,0.0712241653418124,0.04006359300476948,0.043879173290938,0.10715421303656598
CB14,37.0,1373.5,0.0,0.0,0.023333333333333334,0.0,0.15,0.016666666666666666,0.03333333333333333,0.0,0.10333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006666666666666667,0.0,0.0,0.3333333333333333,0.007666666666666666,0.075,0.04766666666666666,0.04466666666666667,0.04566666666666667,0.11266666666666668
CB15,38.9,1380.0,0.0,0.0,0.14046822742474915,0.0,0.07023411371237458,0.013377926421404682,0.016722408026755852,0.0,0.07357859531772575,0.0,0.0,0.0,0.016722408026755852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33444816053511706,0.007357859531772574,0.08361204013377926,0.04749163879598661,0.042140468227424746,0.04247491638795987,0.11137123745819398
CB16,39.2,1375.4,0.0,0.0010003334444814939,0.18039346448816274,0.0,0.04234744914971657,0.020673557852617538,0.003334444814938313,0.0,0.07402467489163055,0.0,0.0,0.0,0.011337112370790263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33344448149383127,0.0073357785928642874,0.08469489829943314,0.04734911637212404,0.04168056018672891,0.04234744914971657,0.11003667889296433
CB17,39.6,1343.1,0.0,0.0009983361064891847,0.1830282861896839,0.0006655574043261231,0.04991680532445923,0.013311148086522463,0.0,0.0,0.07321131447587355,0.0,0.0,0.0,0.013311148086522463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3327787021630616,0.007653910149750416,0.08618968386023296,0.0475873544093178,0.0415973377703827,0.039600665557404324,0.11014975041597339
CB18,41.5,1260.6,0.0,0.00033277870216306157,0.22628951747088188,0.0013311148086522463,0.07321131447587355,0.0033277870216306157,0.0,0.0,0.01663893510815308,0.0,0.0,0.0,0.013311148086522463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3327787021630616,0.00831946755407654,0.09450915141430948,0.048252911813643926,0.03993344425956739,0.03793677204658902,0.10382695507487522
CB19,39.5,1422.9,0.0,0.00033311125916055963,0.21485676215856095,0.0013324450366422385,0.010326449033977348,0.012991339107261824,0.0,0.0,0.08127914723517654,0.0,0.0,0.0,0.011992005329780144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3334443704197202,0.006995336442371752,0.08560959360426382,0.0469686875416389,0.04097268487674883,0.03930712858094603,0.11359093937375084
CB20,39.5,1430.6,0.0,0.0,0.22117962466487937,0.0006702412868632708,0.006702412868632708,0.010053619302949061,0.0,0.0,0.08042895442359249,0.0,0.0,0.0,0.010053619302949061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33545576407506705,0.0070375335120643435,0.08646112600536193,0.04457104557640751,0.0435656836461126,0.04121983914209115,0.1126005361930295
CB21,39.5,1422.9,0.0,0.0,0.1481851481851482,0.0,0.04528804528804529,0.023310023310023312,0.007326007326007325,0.0,0.0969030969030969,0.0,0.0,0.0,0.010656010656010656,0.0,0.0,0.000999000999000999,0.0,0.000666000666000666,0.0,0.0,0.33333333333333337,0.006993006993006993,0.08058608058608058,0.04428904428904429,0.04528804528804529,0.04329004329004329,0.1128871128871129
CB22,36.4,1485.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0095,0.085,0.0925,0.066,0.07,0.177
CB23,34.3,1706.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.008008008008008008,0.07257257257257257,0.08758758758758758,0.06556556556556557,0.07107107107107107,0.1951951951951952
CB24,38.2,1551.5,0.0,0.0,0.18999999999999997,0.0,0.0,0.0033333333333333335,0.016666666666666666,0.0,0.12,0.0,0.0,0.0,0.0033333333333333335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.006666666666666667,0.06333333333333334,0.065,0.03266666666666667,0.04833333333333333,0.11733333333333333
CB25,39.0,1418.1,0.0,0.0,0.19033333333333333,0.0,0.027333333333333334,0.005666666666666667,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.007333333333333333,0.066,0.06666666666666667,0.03333333333333333,0.048999999999999995,0.111
CB26,40.0,1423.8,0.0,0.0,0.2431712191872085,0.0,0.013324450366422384,0.003331112591605596,0.0,0.0,0.07328447701532312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3334443704197202,0.007328447701532311,0.07028647568287807,0.06728847435043304,0.037308461025982675,0.04197201865423051,0.10926049300466355
CB27,38.8,1355.9,0.0,0.1124082721814543,0.17978652434956638,0.0,0.008338892595063376,0.00133422281521014,0.004336224149432954,0.0,0.024016010673782517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00266844563042028,0.0,0.0,0.333555703802535,0.008672448298865909,0.06837891927951967,0.06704469646430954,0.038692461641094064,0.044029352901934625,0.1067378252168112
