blend_id,API,Sulphur,crude_AGB,crude_BOL,crude_CJB,crude_WCD,crude_QUI,crude_AME,crude_FOR,crude_ABO,crude_OK2,crude_ESC,crude_BOC,crude_BRL,crude_AKP,crude_ASC,crude_AGO,crude_YOH,crude_OKW,crude_ERH,crude_PAZ,crude_Nembe,crude_Total,crude_Gas & LPG,crude_Naptha ,crude_Kerosene,crude_Light Diesel,crude_Heavy Diesel,crude_RCO
CB10,40.3,1156.0,0.0,0.08580968280467445,0.0,0.14691151919866444,0.00333889816360601,0.0,0.0,0.0,0.09682804674457428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33355592654424043,0.008681135225375626,0.09348914858096828,0.044741235392320534,0.04440734557595993,0.038397328881469114,0.10383973288814691
CB11,40.1,1233.0,0.0,0.09036544850498339,0.0033222591362126242,0.18272425249169436,0.0033222591362126242,0.0,0.0,0.0,0.05647840531561462,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3318936877076412,0.008637873754152823,0.09169435215946845,0.04451827242524917,0.04352159468438538,0.037873754152823916,0.10564784053156145
CB12,41.3,1412.4,0.0,0.0,0.0033422459893048127,0.27740641711229946,0.0,0.0,0.0,0.0,0.010026737967914439,0.013368983957219251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026737967914438502,0.0,0.0,0.3345588235294118,0.007352941176470588,0.09358288770053477,0.04779411764705882,0.039104278074866314,0.03676470588235294,0.10995989304812835
CB13,37.6,1723.9,0.0,0.07584830339321358,0.0033266799733865605,0.15635395874916833,0.0,0.0,0.0,0.0,0.03326679973386561,0.006653359946773121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00998003992015968,0.0499001996007984,0.0,0.3323353293413174,0.007651363938789089,0.08050565535595476,0.04457751164337991,0.03992015968063872,0.039254823685961414,0.12042581503659348
CB14,39.0,1874.2,0.0,0.003996003996003996,0.00333000333000333,0.25308025308025306,0.0,0.000999000999000999,0.0,0.0,0.00666000666000666,0.00333000333000333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00333000333000333,0.05994005994005994,0.0,0.33266733266733267,0.00666000666000666,0.08424908424908424,0.04428904428904429,0.037296037296037296,0.03663003663003663,0.12354312354312354
CB15,39.0,1891.8,0.0,0.003980099502487562,0.0,0.25870646766169153,0.0,0.0009950248756218905,0.0,0.0,0.0,0.009950248756218905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003316749585406302,0.059701492537313425,0.0,0.33167495854063017,0.006633499170812604,0.08358208955223881,0.04411276948590381,0.03714759535655058,0.03648424543946932,0.12371475953565506
CB16,37.0,1740.0,0.0,0.00664451827242525,0.0,0.11960132890365449,0.11960132890365449,0.0,0.0,0.0,0.0,0.009966777408637875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.036544850498338874,0.043189368770764125,0.0,0.33222591362126247,0.005980066445182724,0.07574750830564785,0.0451827242524917,0.04119601328903655,0.043189368770764125,0.12093023255813955
CB17,37.0,1585.0,0.0,0.013377926421404682,0.0,0.026755852842809364,0.12040133779264213,0.0,0.0,0.0,0.0033444816053511705,0.0033444816053511705,0.09364548494983278,0.0,0.0,0.0,0.0,0.0,0.0,0.013377926421404682,0.056856187290969896,0.0,0.33444816053511706,0.006020066889632106,0.0745819397993311,0.046153846153846156,0.04280936454849498,0.046153846153846156,0.11872909698996655
CB18,37.0,1600.0,0.0,0.013333333333333334,0.0,0.02666666666666667,0.11333333333333334,0.0,0.0,0.0,0.0033333333333333335,0.0033333333333333335,0.09333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.023333333333333334,0.05666666666666667,0.0,0.3333333333333333,0.005666666666666667,0.07433333333333333,0.04633333333333334,0.042666666666666665,0.046000000000000006,0.11833333333333333
CB19,37.0,1588.0,0.0,0.013386880856760375,0.0,0.040160642570281124,0.1137884872824632,0.0,0.0,0.0,0.0033467202141900937,0.0,0.09370816599732264,0.0,0.0,0.0,0.0,0.0,0.0,0.013386880856760375,0.0568942436412316,0.0,0.3326639892904953,0.006024096385542168,0.07563587684069611,0.0461847389558233,0.04250334672021419,0.045850066934404285,0.11646586345381525
CB20,37.2,1518.6,0.0,0.011639507815098106,0.0,0.04655803126039242,0.11639507815098103,0.0006651147322913202,0.0,0.0,0.0033255736614566014,0.0,0.09311606252078485,0.0,0.0,0.0,0.0,0.0,0.0,0.013302294645826405,0.04988360492184901,0.0,0.3325573661456601,0.005986032590621882,0.07216494845360824,0.05121383438643166,0.042234785500498834,0.04522780179580978,0.11572996341868971
CB21,35.0,1616.9,0.0,0.010026737967914439,0.0,0.013368983957219251,0.09692513368983957,0.0006684491978609626,0.07352941176470588,0.0,0.0033422459893048127,0.0,0.07352941176470588,0.0,0.0,0.0,0.0,0.0,0.0,0.010026737967914439,0.05013368983957219,0.0,0.3342245989304813,0.005347593582887701,0.06383689839572193,0.050467914438502674,0.045454545454545456,0.04879679144385026,0.12032085561497326
CB22,35.3,1457.2,0.0,0.07492507492507493,0.0,0.01332001332001332,0.01998001998001998,0.000666000666000666,0.07659007659007659,0.0,0.00666000666000666,0.000333000333000333,0.0,0.0,0.0,0.0,0.0,0.09990009990009989,0.0,0.001665001665001665,0.03996003996003996,0.0,0.333000333000333,0.00666000666000666,0.06626706626706627,0.05128205128205128,0.04595404595404596,0.047619047619047616,0.1152181152181152
