blend_id,API,Sulphur,crude_WTI Midland,crude_BOL,crude_AME,crude_FOR,crude_ESC,crude_MERO,crude_YOH,crude_OKW,crude_Utapate,crude_Okono,crude_Total,crude_Gas & LPG,crude_Naptha ,crude_Kerosene,crude_Light Diesel,crude_Heavy Diesel,crude_RCO
CB15,41.1,1153.0,0.1800600200066689,0.03567855951983995,0.08336112037345782,0.0,0.003334444814938313,0.0,0.030010003334444812,0.0,0.0,0.0,0.33377792597532513,0.009003001000333443,0.07535845281760586,0.06768922974324774,0.036012004001333774,0.05101700566855618,0.09469823274424807
CB16,41.0,1164.0,0.18345563709139426,0.040026684456304196,0.07671781187458306,0.0,0.00333555703802535,0.0,0.03002001334222815,0.0,0.0,0.0,0.3332221480987325,0.009006004002668445,0.07505003335557038,0.06737825216811208,0.035690460306871244,0.051034022681787854,0.09506337558372246
CB17,41.5,1118.4,0.1734489659773182,0.0,0.11674449633088724,0.0,0.0133422281521014,0.0,0.03002001334222815,0.0,0.0,0.0,0.33322214809873246,0.008338892595063376,0.07605070046697798,0.06837891927951967,0.03602401601067378,0.051034022681787854,0.0933955970647098
CB18,41.0,1141.0,0.1839464882943144,0.0,0.09698996655518395,0.0,0.013377926421404684,0.0,0.03678929765886288,0.0,0.0,0.0,0.33444816053511706,0.008695652173913044,0.0762541806020067,0.06822742474916388,0.03578595317725753,0.050836120401337795,0.09464882943143813
CB19,42.0,1132.0,0.1996007984031936,0.0,0.0998003992015968,0.0,0.0,0.0,0.036593479707252165,0.0,0.0,0.0,0.3320026613439787,0.008649367930805056,0.07717897538256821,0.06819693945442448,0.03526280771789754,0.0499001996007984,0.09281437125748504
CB20,42.0,1076.0,0.16666666666666666,0.0,0.13333333333333333,0.0,0.0,0.0,0.03333333333333333,0.0,0.0,0.0,0.3333333333333333,0.009,0.07733333333333334,0.06866666666666667,0.036333333333333336,0.051,0.09100000000000001
CB21,40.0,1157.0,0.13666666666666666,0.11,0.06333333333333334,0.0,0.0,0.0,0.023333333333333334,0.0,0.0,0.0,0.3333333333333333,0.009666666666666667,0.07133333333333333,0.06633333333333334,0.037,0.053,0.09599999999999999
CB22,41.0,1191.0,0.20080321285140562,0.050200803212851405,0.03346720214190094,0.0,0.0,0.0,0.04685408299866132,0.0,0.0,0.0,0.3343373493975904,0.008701472556894243,0.0749665327978581,0.06726907630522089,0.03547523427041499,0.05120481927710843,0.0967202141900937
CB23R,40.0,1141.0,0.15333333333333335,0.08,0.05333333333333334,0.0,0.0,0.0,0.04666666666666667,0.0,0.0,0.0,0.3333333333333333,0.009,0.073,0.067,0.036333333333333336,0.05266666666666667,0.09533333333333333
CB24R,40.0,1176.0,0.17333333333333334,0.08666666666666667,0.01,0.0,0.0,0.0,0.06333333333333334,0.0,0.0,0.0,0.3333333333333333,0.008666666666666666,0.07266666666666667,0.06666666666666667,0.036,0.052333333333333336,0.09699999999999999
